accession	species	gene_id	chrom	start	end	len_bp	strand	class	tier	status	len_aa	model
hcurw_V2R203	hcurw	LOC_00003655	ch2	362233836	362249106	15270	neg	intact	T2	functional	838	eviann
hcurw_V2R204	hcurw	LOC_00003656	ch2	362253519	362261655	8136	neg	intact	T2	pseudogene	659	eviann
hcurw_V2R205	hcurw	LOC_00003659	ch2	362740030	362748144	8114	neg	intact	T2	functional	659	eviann
hcurw_V2R206	hcurw	LOC_00003661	ch2	362824506	362829514	5008	pos	intact	T2	functional	659	eviann
hcurw_V2R207	hcurw	LOC_00003664	ch2	363106097	363118970	12873	pos	partial	T2	pseudogene	529	eviann
hcurw_V2R208	hcurw	LOC_00003667	ch2	363325439	363391479	66040	neg	intact	T2	functional	847	eviann
hcurw_V2R209	hcurw	LOC_00003668	ch2	363422918	363427922	5004	pos	intact	T2	functional	849	miniprot
hcurw_V2R210	hcurw	LOC_00003709	ch2	365156728	365167635	10907	pos	fragmented	T2	partial	512	eviann
hcurw_V2R211	hcurw	LOC_00003712	ch2	366098539	366101385	2846	neg	fragmented	T2	partial	253	eviann
hcurw_V2R212	hcurw	LOC_00003713	ch2	366257862	366276523	18661	pos	intact	T2	functional	850	eviann
hcurw_V2R213	hcurw	LOC_00003714	ch2	366345917	366893911	547994	pos	partial	T2	pseudogene	852	miniprot
hcurw_V2R214	hcurw	LOC_00003717	ch2	366911510	366912809	1299	pos	fragmented	T2	pseudogene	325	eviann
hcurw_V2R215	hcurw	LOC_00003719	ch2	367320017	367321312	1295	neg	intact	T2	pseudogene	811	miniprot
hcurw_V2R216	hcurw	LOC_00003720	ch2	367415846	367430131	14285	neg	intact	T2	functional	850	miniprot
hcurw_V2R217	hcurw	LOC_00003721	ch2	367627619	367641900	14281	neg	intact	T2	functional	850	miniprot
hcurw_V2R218	hcurw	LOC_00003722	ch2	367806594	367810454	3860	pos	intact	T2	functional	843	miniprot
hcurw_V2R219	hcurw	LOC_00003723	ch2	367917331	367931636	14305	pos	intact	T2	functional	850	eviann
hcurw_V2R220	hcurw	LOC_00003725	ch2	368001819	368003117	1298	pos	intact	T2	pseudogene	811	miniprot
hcurw_V2R221	hcurw	LOC_00003726	ch2	368251933	368274224	22291	pos	intact	T2	pseudogene	799	eviann
hcurw_V2R222	hcurw	LOC_00003727	ch2	368640139	368640697	558	pos	fragmented	T2	partial	184	eviann
hcurw_V2R223	hcurw	LOC_00003728	ch2	368646384	368649210	2826	neg	fragmented	T2	partial	253	eviann
hcurw_V2R224	hcurw	LOC_00003729	ch2	368885508	368886806	1298	pos	intact	T2	pseudogene	768	miniprot
hcurw_V2R225	hcurw	LOC_00003730	ch2	369014602	369029036	14434	pos	intact	T2	functional	850	miniprot
hcurw_V2R226	hcurw	LOC_00003731	ch2	369042237	369056529	14292	pos	intact	T2	functional	850	eviann
hcurw_V2R227	hcurw	LOC_00003732	ch2	369149044	369150749	1705	pos	intact	T2	functional	837	miniprot
hcurw_V2R228	hcurw	LOC_00003733	ch2	369275574	369279453	3879	pos	fragmented	T2	partial	308	eviann
hcurw_V2R229	hcurw	LOC_00003734	ch2	369284261	369304598	20337	pos	intact	T2	functional	848	miniprot
hcurw_V2R230	hcurw	LOC_00003735	ch2	369435248	369436546	1298	pos	intact	T2	pseudogene	738	miniprot
hcurw_V2R231	hcurw	LOC_00003815	ch2	375041210	375056229	15019	pos	intact	T2	functional	870	eviann
hcurw_V2R232	hcurw	LOC_00003816	ch2	375203161	375211323	8162	neg	intact	T2	functional	659	eviann
hcurw_V2R233	hcurw	LOC_00003818	ch2	375295424	375308033	12609	pos	intact	T2	functional	847	miniprot
hcurw_V2R234	hcurw	LOC_00003822	ch2	376038457	376042629	4172	pos	fragmented	T2	partial	302	eviann
hcurw_V2R235	hcurw	LOC_00003823	ch2	376192220	376200487	8267	neg	fragmented	T2	partial	178	eviann
hcurw_V2R236	hcurw	LOC_00003835	ch2	378006493	378010419	3926	neg	fragmented	T2	pseudogene	265	eviann
hcurw_V2R237	hcurw	LOC_00003884	ch2	381088884	381106965	18081	neg	intact	T2	functional	863	miniprot
hcurw_V2R238	hcurw	LOC_00004520	ch4	28995091	29008989	13898	neg	intact	T2	functional	851	eviann
hcurw_V2R239	hcurw	LOC_00004521	ch4	29273891	29277023	3132	pos	fragmented	T2	partial	420	eviann
hcurw_V2R240	hcurw	LOC_00004524	ch4	29548221	29552055	3834	neg	fragmented	T2	partial	225	eviann
hcurw_V2R241	hcurw	LOC_00006615	ch4	140256819	140259942	3123	neg	fragmented	T2	partial	386	eviann
hcurw_V2R242	hcurw	LOC_00006616	ch4	140574849	140591587	16738	pos	intact	T2	functional	840	miniprot
hcurw_V2R243	hcurw	LOC_00006617	ch4	140663170	140677557	14387	neg	intact	T2	functional	851	eviann
hcurw_V2R244	hcurw	LOC_00006618	ch4	140770960	140783407	12447	neg	intact	T2	functional	849	eviann
hcurw_V2R245	hcurw	LOC_00006619	ch4	140818978	140850170	31192	neg	fragmented	T2	partial	356	eviann
hcurw_V2R246	hcurw	LOC_00006623	ch4	141158032	141166577	8545	neg	intact	T2	functional	660	eviann
hcurw_V2R247	hcurw	LOC_00006624	ch4	141201957	141209436	7479	neg	fragmented	T2	partial	258	eviann
hcurw_V2R248	hcurw	LOC_00006625	ch4	141236574	141266073	29499	neg	fragmented	T2	pseudogene	351	eviann
hcurw_V2R249	hcurw	LOC_00007388	ch4	177840147	177856732	16585	pos	fragmented	T2	partial	153	eviann
hcurw_V2R250	hcurw	LOC_00008346	ch4	207323719	207325468	1749	neg	fragmented	T2	partial	121	eviann
hcurw_V2R251	hcurw	LOC_00008348	ch4	207450017	207455253	5236	neg	fragmented	T2	partial	282	eviann
hcurw_V2R252	hcurw	LOC_00008351	ch4	207916145	207921059	4914	neg	fragmented	T2	partial	350	eviann
hcurw_V2R253	hcurw	LOC_00008352	ch4	207951490	207959739	8249	pos	fragmented	T2	partial	258	eviann
hcurw_V2R254	hcurw	LOC_00008353	ch4	208475540	208479295	3755	neg	fragmented	T2	partial	350	eviann
hcurw_V2R255	hcurw	LOC_00008354	ch4	208558031	208567707	9676	neg	fragmented	T2	partial	350	eviann
hcurw_V2R256	hcurw	LOC_00008356	ch4	209055551	209186085	130534	pos	fragmented	T2	partial	351	eviann
hcurw_V2R257	hcurw	LOC_00008359	ch4	209221934	209275016	53082	pos	fragmented	T2	partial	257	eviann
hcurw_V2R258	hcurw	LOC_00008360	ch4	209545446	209595985	50539	pos	intact	T2	functional	857	eviann
hcurw_V2R259	hcurw	LOC_00008361	ch4	209681107	209684238	3131	neg	fragmented	T2	partial	350	eviann
hcurw_V2R260	hcurw	LOC_00008363	ch4	209813757	210092550	278793	pos	fragmented	T2	partial	550	eviann
hcurw_V2R261	hcurw	LOC_00008364	ch4	210119620	210122685	3065	neg	fragmented	T2	partial	328	eviann
hcurw_V2R262	hcurw	LOC_00008366	ch4	210619333	210633976	14643	pos	intact	T2	functional	851	eviann
hcurw_V2R263	hcurw	LOC_00008367	ch4	210743782	210754764	10982	neg	fragmented	T2	partial	512	eviann
hcurw_V2R264	hcurw	LOC_00008368	ch4	211094004	211101269	7265	neg	fragmented	T2	partial	258	eviann
hcurw_V2R265	hcurw	LOC_00008371	ch4	212082290	212428847	346557	pos	fragmented	T2	partial	550	eviann
hcurw_V2R266	hcurw	LOC_00008382	ch4	217162639	217169038	6399	neg	fragmented	T2	partial	177	eviann
hcurw_V2R267	hcurw	LOC_00008387	ch4	217593763	217596323	2560	pos	fragmented	T2	partial	151	eviann
hcurw_V2R268	hcurw	LOC_00008388	ch4	217851191	217860967	9776	neg	fragmented	T2	partial	242	eviann
hcurw_V2R269	hcurw	LOC_00008389	ch4	217926792	217952620	25828	neg	fragmented	T2	partial	529	eviann
hcurw_V2R270	hcurw	LOC_00008392	ch4	218291791	218295845	4054	pos	fragmented	T2	partial	328	eviann
hcurw_V2R271	hcurw	LOC_00008393	ch4	218538131	218557008	18877	neg	intact	T2	functional	851	eviann
hcurw_V2R272	hcurw	LOC_00008395	ch4	219166461	219169620	3159	pos	fragmented	T2	partial	328	eviann
hcurw_V2R273	hcurw	LOC_00008401	ch4	220872018	220899987	27969	pos	intact	T2	functional	851	eviann
hcurw_V2R274	hcurw	LOC_00008408	ch4	222748439	222750234	1795	neg	fragmented	T2	partial	115	eviann
hcurw_V2R275	hcurw	LOC_00008409	ch4	222972223	222976469	4246	pos	fragmented	T2	partial	166	miniprot
hcurw_V2R276	hcurw	LOC_00008413	ch4	224211571	224218191	6620	neg	fragmented	T2	partial	242	eviann
hcurw_V2R277	hcurw	LOC_00008414	ch4	224345727	224348848	3121	pos	fragmented	T2	partial	351	eviann
hcurw_V2R278	hcurw	LOC_00008416	ch4	224969546	224971723	2177	neg	fragmented	T2	partial	180	eviann
hcurw_V2R279	hcurw	LOC_00008417	ch4	225513536	225520630	7094	neg	fragmented	T2	partial	134	eviann
hcurw_V2R280	hcurw	LOC_00008418	ch4	225655986	225685623	29637	neg	intact	T2	functional	851	eviann
hcurw_V2R281	hcurw	LOC_00008419	ch4	225718731	225732205	13474	neg	intact	T2	functional	851	eviann
hcurw_V2R282	hcurw	LOC_00008425	ch4	229040682	229235470	194788	pos	fragmented	T2	partial	383	eviann
hcurw_V2R283	hcurw	LOC_00008428	ch4	229363157	229383864	20707	pos	intact	T2	functional	851	eviann
hcurw_V2R284	hcurw	LOC_00008430	ch4	229960607	229983821	23214	neg	fragmented	T2	partial	512	eviann
hcurw_V2R285	hcurw	LOC_00008431	ch4	230031448	230046701	15253	pos	fragmented	T2	partial	512	eviann
hcurw_V2R286	hcurw	LOC_00008434	ch4	230475004	230483899	8895	neg	fragmented	T2	partial	242	eviann
hcurw_V2R287	hcurw	LOC_00008436	ch4	230796024	230803014	6990	neg	fragmented	T2	partial	258	eviann
hcurw_V2R288	hcurw	LOC_00008437	ch4	230891619	230926302	34683	neg	intact	T2	functional	780	eviann
hcurw_V2R289	hcurw	LOC_00008440	ch4	231649361	231658396	9035	neg	fragmented	T2	partial	242	eviann
hcurw_V2R290	hcurw	LOC_00008441	ch4	231747303	231764527	17224	pos	partial	T2	partial	583	eviann
hcurw_V2R291	hcurw	LOC_00008442	ch4	231838607	231863790	25183	pos	fragmented	T2	partial	498	eviann
hcurw_V2R292	hcurw	LOC_00008443	ch4	232117371	232142712	25341	pos	intact	T2	functional	761	eviann
hcurw_V2R293	hcurw	LOC_00008445	ch4	232230787	232250164	19377	neg	intact	T2	functional	850	eviann
hcurw_V2R294	hcurw	LOC_00008449	ch4	234023364	234029899	6535	neg	fragmented	T2	partial	166	miniprot
hcurw_V2R295	hcurw	LOC_00008481	ch4	240429156	240464266	35110	pos	fragmented	T2	partial	550	eviann
hcurw_V2R296	hcurw	LOC_00008482	ch4	242485237	242500441	15204	pos	fragmented	T2	partial	512	eviann
hcurw_V2R297	hcurw	LOC_00008484	ch4	242734281	242748836	14555	pos	fragmented	T2	partial	504	eviann
hcurw_V2R298	hcurw	LOC_00008486	ch4	243451491	243459637	8146	pos	partial	T2	partial	586	eviann
hcurw_V2R299	hcurw	LOC_00008488	ch4	243641891	243648341	6450	neg	fragmented	T2	partial	285	eviann
hcurw_V2R300	hcurw	LOC_00008489	ch4	243696922	243725808	28886	neg	intact	T2	functional	851	eviann
hcurw_V2R301	hcurw	LOC_00008490	ch4	244040904	244051782	10878	neg	fragmented	T2	partial	512	eviann
hcurw_V2R302	hcurw	LOC_00008491	ch4	244261264	244284544	23280	neg	partial	T2	pseudogene	660	eviann
hcurw_V2R303	hcurw	LOC_00008492	ch4	244370598	244379778	9180	neg	fragmented	T2	partial	258	eviann
hcurw_V2R304	hcurw	LOC_00008494	ch4	244492789	244499266	6477	neg	fragmented	T2	partial	285	eviann
hcurw_V2R305	hcurw	LOC_00008496	ch4	244711284	244714405	3121	neg	fragmented	T2	partial	351	eviann
hcurw_V2R306	hcurw	LOC_00008497	ch4	244879839	244900541	20702	pos	intact	T2	functional	830	eviann
hcurw_V2R307	hcurw	LOC_00008498	ch4	245766142	245793670	27528	pos	intact	T2	functional	851	eviann
hcurw_V2R308	hcurw	LOC_00008499	ch4	245820441	245849147	28706	pos	intact	T2	functional	851	eviann
hcurw_V2R309	hcurw	LOC_00008500	ch4	246062040	246069950	7910	pos	fragmented	T2	partial	382	eviann
hcurw_V2R310	hcurw	LOC_00008501	ch4	246108612	246119661	11049	pos	partial	T2	partial	509	eviann
hcurw_V2R311	hcurw	LOC_00008502	ch4	246155545	246161307	5762	neg	fragmented	T2	partial	302	eviann
hcurw_V2R312	hcurw	LOC_00008503	ch4	246238777	246241336	2559	pos	fragmented	T2	partial	362	eviann
hcurw_V2R313	hcurw	LOC_00008504	ch4	246396995	246419862	22867	pos	intact	T2	functional	851	eviann
hcurw_V2R314	hcurw	LOC_00008550	ch4	249425075	249435702	10627	pos	fragmented	T2	partial	258	eviann
hcurw_V2R315	hcurw	LOC_00008552	ch4	249558803	249568797	9994	pos	fragmented	T2	partial	285	eviann
hcurw_V2R316	hcurw	LOC_00008553	ch4	249646943	249655358	8415	pos	fragmented	T2	partial	158	eviann
hcurw_V2R317	hcurw	LOC_00008555	ch4	250772530	251694763	922233	neg	fragmented	T2	partial	550	eviann
hcurw_V2R318	hcurw	LOC_00008560	ch4	251967700	251973800	6100	neg	fragmented	T2	partial	150	eviann
hcurw_V2R319	hcurw	LOC_00008562	ch4	252005857	252012911	7054	neg	fragmented	T2	partial	445	eviann
hcurw_V2R320	hcurw	LOC_00008563	ch4	252274149	252282626	8477	neg	fragmented	T2	partial	285	eviann
hcurw_V2R321	hcurw	LOC_00008564	ch4	252351330	252354443	3113	pos	fragmented	T2	partial	357	eviann
hcurw_V2R322	hcurw	LOC_00008565	ch4	252728969	252735798	6829	neg	fragmented	T2	partial	242	eviann
hcurw_V2R323	hcurw	LOC_00008567	ch4	252776629	252789354	12725	neg	fragmented	T2	partial	455	eviann
hcurw_V2R324	hcurw	LOC_00008568	ch4	253246078	253313732	67654	pos	intact	T2	functional	851	eviann
hcurw_V2R325	hcurw	LOC_00008570	ch4	253538642	253545588	6946	pos	fragmented	T2	partial	242	eviann
hcurw_V2R326	hcurw	LOC_00008572	ch4	253770148	253776739	6591	pos	fragmented	T2	partial	258	eviann
hcurw_V2R327	hcurw	LOC_00008573	ch4	253953981	253982847	28866	pos	intact	T2	functional	851	eviann
hcurw_V2R328	hcurw	LOC_00008621	ch4	255479431	255531945	52514	pos	fragmented	T2	partial	257	eviann
hcurw_V2R329	hcurw	LOC_00008649	ch4	258455529	258468513	12984	pos	intact	T2	functional	857	eviann
hcurw_V2R330	hcurw	LOC_00008650	ch4	258567615	258588308	20693	pos	intact	T2	functional	780	eviann
hcurw_V2R331	hcurw	LOC_00008651	ch4	259063505	259070478	6973	neg	fragmented	T2	partial	285	eviann
hcurw_V2R332	hcurw	LOC_00008652	ch4	259227925	259234626	6701	neg	fragmented	T2	partial	285	eviann
hcurw_V2R333	hcurw	LOC_00008653	ch4	259282575	259304816	22241	neg	intact	T2	functional	856	eviann
hcurw_V2R334	hcurw	LOC_00008654	ch4	259484456	259510070	25614	pos	intact	T2	functional	851	eviann
hcurw_V2R335	hcurw	LOC_00008655	ch4	259610178	259861307	251129	pos	intact	T2	functional	851	eviann
hcurw_V2R336	hcurw	LOC_00008684	ch4	261310185	261315511	5326	neg	fragmented	T2	partial	201	eviann
hcurw_V2R337	hcurw	LOC_00008692	ch4	262966362	262969485	3123	pos	fragmented	T2	partial	351	eviann
hcurw_V2R338	hcurw	LOC_00008700	ch4	263845110	264029992	184882	neg	intact	T2	functional	851	eviann
hcurw_V2R339	hcurw	LOC_00008702	ch4	263927979	263935980	8001	pos	intact	T2	functional	205	eviann
hcurw_V2R340	hcurw	LOC_00019804	ch5	101914041	102151200	237159	neg	intact	T2	pseudogene	851	miniprot
hcurw_V2R341	hcurw	LOC_00019805	ch5	101990603	102006015	15412	neg	intact	T2	pseudogene	851	miniprot
hcurw_V2R342	hcurw	LOC_00019806	ch5	102117989	102133125	15136	neg	intact	T2	pseudogene	851	miniprot
hcurw_V2R343	hcurw	LOC_00019809	ch5	103060739	103066954	6215	pos	fragmented	T2	partial	280	eviann
hcurw_V2R344	hcurw	LOC_00017339	ch7	69093553	69171828	78275	neg	fragmented	T2	partial	153	eviann
hcurw_V2R345	hcurw	LOC_00017495	ch7	84509037	84693540	184503	pos	fragmented	T2	partial	913	eviann
hcurw_V2R346	hcurw	LOC_00014883	chZ	7917763	7936996	19233	pos	intact	T2	pseudogene	876	miniprot
hcurw_V2R347	hcurw	LOC_00014884	chZ	7958580	7966853	8273	pos	intact	T2	pseudogene	876	miniprot
hcurw_V2R348	hcurw	LOC_00014885	chZ	7997357	8026248	28891	pos	intact	T2	functional	867	eviann
hcurw_V2R349	hcurw	LOC_00014886	chZ	8109397	8114154	4757	pos	intact	T2	pseudogene	845	miniprot
hcurw_V2R350	hcurw	LOC_00014887	chZ	8120195	8134010	13815	pos	intact	T2	pseudogene	845	miniprot
hcurw_V2R351	hcurw	LOC_00014888	chZ	8156904	8157417	513	neg	fragmented	T2	pseudogene	170	eviann
hcurw_V2R352	hcurw	LOC_00014889	chZ	8292660	8293590	930	neg	fragmented	T2	pseudogene	812	miniprot
hcurw_V2R353	hcurw	LOC_00014890	chZ	8345405	8362246	16841	neg	intact	T2	pseudogene	840	miniprot
hcurw_V2R354	hcurw	LOC_00014891	chZ	8383413	8384334	921	pos	fragmented	T2	pseudogene	306	eviann
hcurw_V2R355	hcurw	LOC_00014904	chZ	8897421	8919630	22209	pos	intact	T2	pseudogene	857	miniprot
hcurw_V2R356	hcurw	LOC_00014905	chZ	9158982	9173192	14210	pos	intact	T2	pseudogene	869	miniprot
hcurw_V2R357	hcurw	LOC_00014907	chZ	9377718	9393622	15904	pos	intact	T2	functional	848	eviann
hcurw_V2R358	hcurw	LOC_00014911	chZ	9982791	9983688	897	pos	fragmented	T2	pseudogene	762	miniprot
hcurw_V2R359	hcurw	LOC_00014930	chZ	11944733	11958716	13983	neg	intact	T2	pseudogene	876	eviann
hcurw_V2R360	hcurw	LOC_00014932	chZ	12058256	12070479	12223	neg	intact	T2	pseudogene	876	eviann
hcurw_V2R361	hcurw	LOC_00014946	chZ	13338063	13359058	20995	pos	intact	T2	pseudogene	863	miniprot
hcurw_V2R362	hcurw	LOC_00014947	chZ	13427347	13457624	30277	pos	intact	T2	pseudogene	907	eviann
hcurw_V2R363	hcurw	LOC_00014948	chZ	13498634	13539952	41318	pos	intact	T2	pseudogene	907	eviann
hcurw_V2R364	hcurw	LOC_00014949	chZ	13594816	13599509	4693	pos	fragmented	T2	pseudogene	258	miniprot
hcurw_V2R365	hcurw	LOC_00014950	chZ	13724827	13801480	76653	neg	intact	T2	pseudogene	920	miniprot
hcurw_V2R366	hcurw	LOC_00014991	chZ	15354100	15354472	372	neg	NA	NA	partial	123	NA
hcurw_V2R367	hcurw	LOC_00014993	chZ	15455394	15457158	1764	neg	fragmented	T2	pseudogene	796	miniprot
hcurw_V2R368	hcurw	LOC_00014994	chZ	15493818	15494136	318	neg	NA	NA	partial	105	NA
hcurw_V2R369	hcurw	LOC_00014995	chZ	15524931	15525828	897	neg	intact	T2	pseudogene	879	miniprot
hcurw_V2R370	hcurw	LOC_00014996	chZ	15616748	15617645	897	neg	fragmented	T2	partial	298	eviann
hcurw_V2R371	hcurw	LOC_00014997	chZ	15751863	15808134	56271	pos	intact	T2	pseudogene	879	miniprot
hcurw_V2R372	hcurw	LOC_00014998	chZ	15774846	15791252	16406	pos	intact	T2	pseudogene	879	miniprot
hcurw_V2R373	hcurw	LOC_00014999	chZ	16003457	16011775	8318	neg	intact	T2	functional	871	eviann
hcurw_V2R374	hcurw	LOC_00015001	chZ	16185242	16199110	13868	pos	intact	T2	pseudogene	874	miniprot
hcurw_V2R375	hcurw	LOC_00015003	chZ	16452662	16454435	1773	pos	intact	T2	pseudogene	863	miniprot
hcurw_V2R376	hcurw	LOC_00015005	chZ	16957816	16966035	8219	neg	intact	T2	pseudogene	845	eviann
hcurw_V2R377	hcurw	LOC_00015006	chZ	17199932	17201338	1406	neg	fragmented	T2	pseudogene	160	eviann
hcurw_V2R378	hcurw	LOC_00015008	chZ	17212064	17213459	1395	neg	intact	T2	pseudogene	869	miniprot
hcurw_V2R379	hcurw	LOC_00015011	chZ	17242636	17246625	3989	neg	fragmented	T2	partial	363	eviann
hcurw_V2R380	hcurw	LOC_00015012	chZ	17266921	17270994	4073	neg	intact	T2	pseudogene	863	miniprot
hcurw_V2R381	hcurw	LOC_00015013	chZ	17419055	17425420	6365	neg	intact	T2	pseudogene	875	miniprot
hcurw_V2R382	hcurw	LOC_00015014	chZ	17629021	17644220	15199	pos	intact	T2	functional	885	eviann
hcurw_V2R383	hcurw	LOC_00015016	chZ	18244261	18269372	25111	neg	intact	T2	pseudogene	869	miniprot
hcurw_V2R384	hcurw	LOC_00015017	chZ	18308732	18325688	16956	neg	intact	T2	pseudogene	869	miniprot
hcurw_V2R385	hcurw	LOC_00015018	chZ	18376144	18376900	756	neg	intact	T2	pseudogene	839	miniprot
hcurw_V2R386	hcurw	LOC_00015019	chZ	18460926	18467652	6726	pos	intact	T2	pseudogene	876	miniprot
hcurw_V2R387	hcurw	LOC_00015028	chZ	18839332	18846177	6845	pos	intact	T2	pseudogene	876	miniprot
hcurw_V2R388	hcurw	LOC_00015029	chZ	18869279	18883752	14473	pos	intact	T2	pseudogene	878	eviann
hcurw_V2R389	hcurw	LOC_00015030	chZ	19010368	19021814	11446	pos	intact	T2	functional	871	eviann
hcurw_V2R390	hcurw	LOC_00015032	chZ	19352654	19361125	8471	neg	intact	T2	pseudogene	875	miniprot
hcurw_V2R391	hcurw	LOC_00015033	chZ	19391212	19396772	5560	neg	intact	T2	pseudogene	875	miniprot
hcurw_V2R392	hcurw	LOC_00015034	chZ	19513715	19529775	16060	neg	intact	T2	pseudogene	788	eviann
hcurw_V2R393	hcurw	LOC_00015035	chZ	19636544	19655406	18862	pos	intact	T2	functional	872	miniprot
hcurw_V2R394	hcurw	LOC_00015036	chZ	19699222	19707722	8500	pos	fragmented	T2	partial	303	eviann
hcurw_V2R395	hcurw	LOC_00015084	chZ	21647231	21666784	19553	pos	intact	T2	functional	900	miniprot
hcurw_V2R396	hcurw	LOC_00015085	chZ	21690693	21710787	20094	pos	intact	T2	pseudogene	899	miniprot
hcurw_V2R397	hcurw	LOC_00015087	chZ	21834382	21862960	28578	neg	intact	T2	functional	882	eviann
hcurw_V2R398	hcurw	LOC_00015088	chZ	21991028	21999100	8072	neg	intact	T2	functional	882	miniprot
hcurw_V2R399	hcurw	LOC_00015089	chZ	22033837	22054871	21034	neg	intact	T2	pseudogene	869	miniprot
hcurw_V2R400	hcurw	LOC_00015090	chZ	22200692	22201467	775	pos	fragmented	T2	partial	171	eviann
hcurw_V2R401	hcurw	LOC_00015091	chZ	22272509	22290300	17791	pos	partial	T2	pseudogene	701	miniprot
hcurw_V2R402	hcurw	LOC_00015093	chZ	22422673	22439281	16608	neg	intact	T2	functional	869	miniprot
hcurw_V2R403	hcurw	LOC_00015396	chZ	34046105	34061457	15352	neg	intact	T2	pseudogene	843	miniprot
hcurw_V2R404	hcurw	LOC_00015397	chZ	34066032	34066329	297	neg	fragmented	T2	pseudogene	397	miniprot
hcurw_V2R405	hcurw	LOC_00015401	chZ	34505909	34527302	21393	pos	intact	T2	pseudogene	871	eviann
hcurw_V2R406	hcurw	LOC_00015403	chZ	34586934	34645533	58599	pos	intact	T2	pseudogene	845	miniprot
hcurw_V2R407	hcurw	LOC_00015404	chZ	34724906	34725818	912	neg	fragmented	T2	pseudogene	974	miniprot
hcurw_V2R408	hcurw	LOC_00015405	chZ	34860648	34886531	25883	neg	intact	T2	pseudogene	837	miniprot
hcurw_V2R409	hcurw	LOC_00015406	chZ	34992623	34993529	906	neg	intact	T2	pseudogene	865	miniprot
hcurw_V2R410	hcurw	LOC_00015407	chZ	35151624	35152530	906	neg	fragmented	T2	pseudogene	300	eviann
hcurw_V2R411	hcurw	LOC_00015408	chZ	35172704	35176313	3609	neg	fragmented	T2	pseudogene	163	eviann
hcurw_V2R412	hcurw	LOC_00015409	chZ	35268139	35269042	903	neg	fragmented	T2	pseudogene	299	eviann
hcurw_V2R413	hcurw	LOC_00015411	chZ	35334850	35337202	2352	neg	intact	T2	pseudogene	788	miniprot
hcurw_V2R414	hcurw	LOC_00015413	chZ	35586570	35587404	834	pos	fragmented	T2	partial	277	eviann
hcurw_V2R415	hcurw	LOC_00015414	chZ	35766625	35767525	900	neg	fragmented	T2	pseudogene	299	eviann
hcurw_V2R416	hcurw	LOC_00015416	chZ	35838157	35855943	17786	pos	intact	T2	pseudogene	878	miniprot
hcurw_V2R417	hcurw	LOC_00015417	chZ	35863416	35867559	4143	pos	intact	T2	pseudogene	878	miniprot
hcurw_V2R418	hcurw	LOC_00015441	chZ	37131544	37132441	897	neg	fragmented	T2	partial	298	eviann
hcurw_V2R419	hcurw	LOC_00015445	chZ	37471557	37495315	23758	pos	intact	T2	pseudogene	884	miniprot
hcurw_V2R420	hcurw	LOC_00015467	chZ	38794222	38798682	4460	pos	intact	T2	pseudogene	874	miniprot
hcurw_V2R421	hcurw	LOC_00015468	chZ	38843025	38847473	4448	pos	intact	T2	pseudogene	874	miniprot
hcurw_V2R422	hcurw	LOC_00015469	chZ	38947243	38951697	4454	pos	intact	T2	pseudogene	874	miniprot
hcurw_V2R423	hcurw	LOC_00016655	chZ	182780770	182793780	13010	pos	fragmented	T2	partial	397	eviann
hcurw_V2R424	hcurw	LOC_00016656	chZ	182811109	182822231	11122	pos	intact	T2	functional	660	eviann
hcurw_V2R425	hcurw	LOC_00016662	chZ	183299785	183300553	768	pos	fragmented	T2	partial	255	eviann
hcurw_V2R426	hcurw	LOC_00016664	chZ	183568811	183571348	2537	pos	fragmented	T2	partial	362	eviann
hcurw_V2R427	hcurw	LOC_00016667	chZ	184055918	184083595	27677	neg	partial	T2	partial	673	eviann
hcurw_V2R428	hcurw	LOC_00016669	chZ	184166071	184168232	2161	neg	fragmented	T2	partial	356	eviann
hcurw_V2R429	hcurw	LOC_00016670	chZ	184179613	184184644	5031	neg	fragmented	T2	partial	397	eviann
hcurw_V2R430	hcurw	LOC_00016672	chZ	184515286	184726007	210721	pos	fragmented	T2	partial	397	eviann
hcurw_V2R431	hcurw	LOC_00016681	chZ	185565169	185568699	3530	pos	fragmented	T2	partial	155	eviann
hcurw_V2R432	hcurw	LOC_00016682	chZ	185619739	185634965	15226	neg	intact	T2	functional	841	eviann
hcurw_V2R433	hcurw	LOC_00016684	chZ	185721692	185732927	11235	neg	fragmented	T2	partial	445	eviann
hcurw_V2R434	hcurw	LOC_00016685	chZ	185782349	185878292	95943	pos	fragmented	T2	partial	388	eviann
hcurw_V2R435	hcurw	LOC_00016687	chZ	186013401	186026852	13451	neg	fragmented	T2	partial	511	eviann
hcurw_V2R436	hcurw	LOC_00016691	chZ	186791122	186796153	5031	neg	fragmented	T2	partial	330	eviann
hcurw_V2R437	hcurw	LOC_00016694	chZ	186948679	186952461	3782	neg	fragmented	T2	partial	355	eviann
hcurw_V2R438	hcurw	LOC_00016696	chZ	186997808	187019952	22144	pos	intact	T2	functional	849	eviann
hcurw_V2R439	hcurw	LOC_00016699	chZ	187254174	187258116	3942	neg	intact	T2	functional	849	miniprot
hcurw_V2R440	hcurw	LOC_00016701	chZ	187325092	187424763	99671	pos	intact	T2	functional	359	eviann
hcurw_V2R441	hcurw	LOC_00016702	chZ	187370573	187393485	22912	pos	intact	T2	functional	847	eviann
hcurw_V2R442	hcurw	LOC_00016704	chZ	187579258	187591702	12444	pos	fragmented	T2	partial	391	eviann
